 evt v1 48.500   -4.500    148.7    257.2    325.4    350.5    342.6    360.5    352.8    360.3    342.7    360.3    391.2    363.1    368.8    385.2    374.3    377.5    372.9    386.8    370.9    389.7    397.8    370.2    382.0    392.6    374.6    380.5    369.6    368.9    335.4    348.7    395.4    383.6    386.1    392.8    376.7    376.7    361.4    377.1    361.1    376.2    386.6    360.1    377.0    392.0    377.4    390.8    378.9    380.8    364.9    379.4    410.2    383.6    377.3    396.0    382.6    372.6    370.3    382.8    363.7    380.1    398.8    340.0    352.7    373.6    365.7    382.4    370.6    374.6    355.8    368.4    400.1    369.7    370.5    392.7    380.7    382.4    377.7    390.3    373.5    391.1    396.0    370.6    382.4    393.0    374.8    380.7    369.8    369.1    335.5    348.8    395.5    383.7    386.2    392.8    376.7    376.7    361.4    377.1    361.1    376.2    386.6    360.1    377.0    392.0    377.4    390.8    378.9    380.8    364.9    379.4    410.2    383.6    377.3    396.0    382.6    372.6    370.3    382.8    363.7    380.1    398.8    340.0    352.7    373.6    365.7    382.4    370.6    374.6    355.8    368.4    400.1    369.7    370.5    392.7    380.7    382.4    377.7    390.3    373.5    391.1    396.0    370.6    382.4    393.0    374.8    380.7    369.8    369.1    335.5    348.8    395.5    383.7    386.2    392.8    376.7    376.7    361.4    377.1    361.1    376.2    386.6    360.1    377.0    392.0    377.4    390.8    378.9    380.8    364.9    379.4    410.2    383.6    377.3    396.0    382.6    372.6    370.3    382.8    363.7    380.1    398.8    340.0    352.7    373.6    365.7    382.4    370.6    374.6    355.8    368.4    400.1    369.7    370.5    392.7    380.7    382.4    377.7    390.3    373.5    391.1    396.0    370.6    382.4    393.0    374.8    380.7    369.8    369.1    335.5    348.8    395.5    383.7    386.2    392.8    376.7    376.7    361.4    377.1    361.1    376.2    386.6    360.1    377.0    392.0    377.4    390.8    378.9    380.8    364.9    379.4    410.2    383.6    377.3    396.0    382.6    372.6    370.3    382.8    363.7    380.1    398.8    340.0    352.7    373.6    365.7    382.4    370.6    374.6    355.8    368.4    400.1    369.7    370.5    392.7    380.7    382.4    377.7    390.3    373.5    391.1    396.0    370.6    382.4    393.0    374.8    380.7    369.8    369.1    335.5    348.8    395.5    383.7    386.2    392.8    376.7    376.7    361.4    377.1    361.1    376.2    386.6    360.1    377.0    392.0    377.4    390.8    378.9    380.8    364.9    379.4    410.2    383.6    377.3    396.0    382.6    372.6    370.3    382.8    363.7    380.1    398.8    340.0    352.7    373.6    365.7    382.4    370.6    374.6    355.8    368.4    400.1    369.7    370.5    392.7    380.7    382.4    377.7    390.3    373.5    391.1    396.0    370.6    382.4    393.0    374.8    380.7    369.8    369.1    335.5    348.8    395.5    383.7    386.2    392.8    376.7    376.7    361.4    377.1    361.1    376.2    386.6    360.1    377.0    392.0    377.4    390.8    378.9    380.8    364.9    379.4    410.2    383.6    377.3    396.0    382.6    372.6    370.3    382.8    363.7    380.1    398.8    340.0    352.7    373.6    365.7    382.4    370.6    374.6    355.8    368.4    400.1    369.7    370.5    392.7    380.7    382.4    377.7    390.3    373.5    391.1    396.0    370.6    382.4    393.0    374.8    380.7    369.8    369.1    335.5    348.8    395.5    383.7    386.2    392.8    376.7    376.7    361.4    377.1    361.1    376.2    386.6    360.1    377.0    392.0    377.4    390.8    378.9    380.8    364.9    379.4    410.2    383.6    377.3    396.0    382.6    372.6    370.3    382.8    363.7    380.1    398.8    340.0    352.7    373.6    365.7    382.4    370.6    374.6    355.8    368.4    400.1    369.7    370.5    392.7    380.7    382.4    377.7    390.3    373.5    391.1    396.0    370.6    382.4    393.0    374.8    380.7    369.8    369.1    335.5    348.8    395.5    383.7    386.2    392.8    376.7    376.7    361.4    377.1    361.1    376.2    386.6    360.1    377.0    392.0    377.4    390.8    378.9    380.8    364.9    379.4    410.2    383.6    377.3    396.0    382.6    372.6    370.3    382.8    363.7    380.1    398.8    340.0    352.7    373.6    365.7    382.4    370.6    374.6    355.8    368.4    400.1    369.7    370.5    392.7    380.7    382.4    377.7    390.3    373.5    391.1

 evt v2 48.500   -4.500    110.2    227.7    295.0    318.4    312.3    328.9    323.1    330.8    314.0    331.5    357.9    333.4    340.7    353.5    343.9    347.8    343.7    356.3    344.6    359.6    368.1    342.7    352.4    361.7    346.2    351.1    340.6    341.0    306.9    319.8    362.2    354.4    357.4    360.5    345.8    346.3    331.4    345.9    332.5    345.4    355.6    332.4    347.3    361.0    349.0    363.0    350.5    354.0    337.1    351.3    380.7    354.8    351.2    364.8    352.6    343.0    341.2    352.2    336.6    349.7    368.4    311.4    322.5    341.8    335.6    351.1    341.0    345.3    327.1    339.7    367.4    340.1    343.1    361.0    350.5    352.9    348.6    359.8    347.2    361.0    366.3    343.2    352.9    362.1    346.5    351.3    340.8    341.2    307.0    319.9    362.3    354.4    357.4    360.5    345.8    346.3    331.4    345.9    332.5    345.5    355.6    332.4    347.3    361.0    349.0    363.0    350.5    354.0    337.1    351.3    380.7    354.8    351.2    364.8    352.6    343.0    341.2    352.2    336.6    349.7    368.4    311.4    322.5    341.8    335.6    351.1    341.0    345.3    327.1    339.7    367.4    340.1    343.1    361.0    350.5    352.9    348.6    359.8    347.2    361.0    366.3    343.2    352.9    362.1    346.5    351.3    340.8    341.2    307.0    319.9    362.2    354.4    357.4    360.5    345.8    346.3    331.4    345.9    332.5    345.5    355.6    332.4    347.3    361.0    349.0    363.0    350.5    354.0    337.1    351.3    380.7    354.8    351.2    364.8    352.6    343.0    341.2    352.2    336.6    349.7    368.4    311.4    322.5    341.8    335.6    351.1    341.0    345.3    327.1    339.7    367.4    340.1    343.1    361.0    350.5    352.9    348.6    359.8    347.2    361.0    366.3    343.2    352.9    362.1    346.5    351.3    340.8    341.2    307.0    319.9    362.2    354.4    357.4    360.5    345.8    346.3    331.4    345.9    332.5    345.5    355.6    332.4    347.3    361.0    349.0    363.0    350.5    354.0    337.1    351.3    380.7    354.8    351.2    364.8    352.6    343.0    341.2    352.2    336.6    349.7    368.4    311.4    322.5    341.8    335.6    351.1    341.0    345.3    327.1    339.7    367.4    340.1    343.1    361.0    350.5    352.9    348.6    359.8    347.2    361.0    366.3    343.2    352.9    362.1    346.5    351.3    340.8    341.2    307.0    319.9    362.2    354.4    357.4    360.5    345.8    346.3    331.4    345.9    332.5    345.5    355.6    332.4    347.3    361.0    349.0    363.0    350.5    354.0    337.1    351.3    380.7    354.8    351.2    364.8    352.6    343.0    341.2    352.2    336.6    349.7    368.4    311.4    322.5    341.8    335.6    351.1    341.0    345.3    327.1    339.7    367.4    340.1    343.1    361.0    350.5    352.9    348.6    359.8    347.2    361.0    366.3    343.2    352.9    362.1    346.5    351.3    340.8    341.2    307.0    319.9    362.2    354.4    357.4    360.5    345.8    346.3    331.4    345.9    332.5    345.5    355.6    332.4    347.3    361.0    349.0    363.0    350.5    354.0    337.1    351.3    380.7    354.8    351.2    364.8    352.6    343.0    341.2    352.2    336.6    349.7    368.4    311.4    322.5    341.8    335.6    351.1    341.0    345.3    327.1    339.7    367.4    340.1    343.1    361.0    350.5    352.9    348.6    359.8    347.2    361.0    366.3    343.2    352.9    362.1    346.5    351.3    340.8    341.2    307.0    319.9    362.2    354.4    357.4    360.5    345.8    346.3    331.4    345.9    332.5    345.5    355.6    332.4    347.3    361.0    349.0    363.0    350.5    354.0    337.1    351.3    380.7    354.8    351.2    364.8    352.6    343.0    341.2    352.2    336.6    349.7    368.4    311.4    322.5    341.8    335.6    351.1    341.0    345.3    327.1    339.7    367.4    340.1    343.1    361.0    350.5    352.9    348.6    359.8    347.2    361.0    366.3    343.2    352.9    362.1    346.5    351.3    340.8    341.2    307.0    319.9    362.2    354.4    357.4    360.5    345.8    346.3    331.4    345.9    332.5    345.5    355.6    332.4    347.3    361.0    349.0    363.0    350.5    354.0    337.1    351.3    380.7    354.8    351.2    364.8    352.6    343.0    341.2    352.2    336.6    349.7    368.4    311.4    322.5    341.8    335.6    351.1    341.0    345.3    327.1    339.7    367.4    340.1    343.1    361.0    350.5    352.9    348.6    359.8    347.2    361.0

 trn v1 48.500   -4.500     64.7    168.2    205.1    229.5    224.9    240.4    223.9    236.4    226.6    231.3    257.4    233.2    244.2    254.7    252.8    253.9    252.6    264.0    261.3    268.0    280.9    255.6    256.9    272.5    260.6    268.4    248.6    255.3    223.0    224.6    263.0    247.7    250.3    254.6    246.4    242.9    235.1    246.0    241.6    248.2    263.8    244.6    250.4    271.5    264.2    280.9    261.0    270.6    255.8    259.2    289.3    258.0    258.9    269.5    261.7    250.5    253.0    259.8    250.4    254.4    271.2    221.7    223.8    247.1    243.1    257.7    239.1    248.9    237.7    239.1    267.3    240.5    249.1    262.3    259.5    259.2    257.4    267.5    263.3    268.8    279.9    256.0    257.3    272.8    260.9    268.6    248.8    255.4    223.1    224.7    263.1    247.7    250.3    254.6    246.4    242.9    235.1    246.0    241.6    248.2    263.8    244.6    250.4    271.5    264.2    280.9    261.0    270.6    255.8    259.2    289.3    258.0    258.9    269.5    261.7    250.5    253.0    259.8    250.4    254.4    271.2    221.7    223.8    247.1    243.1    257.7    239.1    248.9    237.7    239.1    267.3    240.5    249.1    262.3    259.5    259.2    257.4    267.5    263.3    268.8    279.9    256.0    257.3    272.8    260.9    268.6    248.8    255.4    223.1    224.7    263.1    247.7    250.3    254.6    246.4    242.9    235.1    246.0    241.6    248.2    263.8    244.6    250.4    271.5    264.2    280.9    261.0    270.6    255.8    259.2    289.3    258.0    258.9    269.5    261.7    250.5    253.0    259.8    250.4    254.4    271.2    221.7    223.8    247.1    243.1    257.7    239.1    248.9    237.7    239.1    267.3    240.5    249.1    262.3    259.5    259.2    257.4    267.5    263.3    268.8    279.9    256.0    257.3    272.8    260.9    268.6    248.8    255.4    223.1    224.7    263.1    247.7    250.3    254.6    246.4    242.9    235.1    246.0    241.6    248.2    263.8    244.6    250.4    271.5    264.2    280.9    261.0    270.6    255.8    259.2    289.3    258.0    258.9    269.5    261.7    250.5    253.0    259.8    250.4    254.4    271.2    221.7    223.8    247.1    243.1    257.7    239.1    248.9    237.7    239.1    267.3    240.5    249.1    262.3    259.5    259.2    257.4    267.5    263.3    268.8    279.9    256.0    257.3    272.8    260.9    268.6    248.8    255.4    223.1    224.7    263.1    247.7    250.3    254.6    246.4    242.9    235.1    246.0    241.6    248.2    263.8    244.6    250.4    271.5    264.2    280.9    261.0    270.6    255.8    259.2    289.3    258.0    258.9    269.5    261.7    250.5    253.0    259.8    250.4    254.4    271.2    221.7    223.8    247.1    243.1    257.7    239.1    248.9    237.7    239.1    267.3    240.5    249.1    262.3    259.5    259.2    257.4    267.5    263.3    268.8    279.9    256.0    257.3    272.8    260.9    268.6    248.8    255.4    223.1    224.7    263.1    247.7    250.3    254.6    246.4    242.9    235.1    246.0    241.6    248.2    263.8    244.6    250.4    271.5    264.2    280.9    261.0    270.6    255.8    259.2    289.3    258.0    258.9    269.5    261.7    250.5    253.0    259.8    250.4    254.4    271.2    221.7    223.8    247.1    243.1    257.7    239.1    248.9    237.7    239.1    267.3    240.5    249.1    262.3    259.5    259.2    257.4    267.5    263.3    268.8    279.9    256.0    257.3    272.8    260.9    268.6    248.8    255.4    223.1    224.7    263.1    247.7    250.3    254.6    246.4    242.9    235.1    246.0    241.6    248.2    263.8    244.6    250.4    271.5    264.2    280.9    261.0    270.6    255.8    259.2    289.3    258.0    258.9    269.5    261.7    250.5    253.0    259.8    250.4    254.4    271.2    221.7    223.8    247.1    243.1    257.7    239.1    248.9    237.7    239.1    267.3    240.5    249.1    262.3    259.5    259.2    257.4    267.5    263.3    268.8    279.9    256.0    257.3    272.8    260.9    268.6    248.8    255.4    223.1    224.7    263.1    247.7    250.3    254.6    246.4    242.9    235.1    246.0    241.6    248.2    263.8    244.6    250.4    271.5    264.2    280.9    261.0    270.6    255.8    259.2    289.3    258.0    258.9    269.5    261.7    250.5    253.0    259.8    250.4    254.4    271.2    221.7    223.8    247.1    243.1    257.7    239.1    248.9    237.7    239.1    267.3    240.5    249.1    262.3    259.5    259.2    257.4    267.5    263.3    268.8

 trn v2 48.500   -4.500     64.7    168.3    205.3    229.6    225.2    241.0    224.1    236.6    226.8    231.5    258.0    233.3    244.8    254.9    252.9    254.1    252.8    264.2    262.0    268.2    281.6    255.9    257.1    272.7    261.2    269.0    248.9    255.5    223.1    224.7    263.5    247.8    250.7    254.7    246.5    242.9    235.2    246.0    242.1    248.3    264.2    244.8    250.6    271.7    264.7    281.7    261.4    271.0    256.0    259.3    290.2    258.2    259.4    269.8    261.9    250.7    253.2    260.0    250.9    254.6    271.6    221.8    223.8    247.2    243.2    258.2    239.3    249.1    237.8    239.2    267.8    240.6    249.7    262.4    259.7    259.4    257.6    267.7    264.0    269.0    280.6    256.3    257.5    273.0    261.4    269.2    249.1    255.6    223.2    224.8    263.5    247.9    250.7    254.8    246.5    242.9    235.2    246.1    242.1    248.3    264.2    244.8    250.6    271.7    264.7    281.7    261.4    271.0    256.0    259.3    290.2    258.2    259.4    269.8    261.9    250.7    253.2    260.0    250.9    254.6    271.6    221.8    223.8    247.2    243.2    258.2    239.3    249.1    237.8    239.2    267.8    240.6    249.7    262.4    259.7    259.4    257.6    267.7    264.0    269.0    280.6    256.3    257.5    273.0    261.4    269.2    249.1    255.6    223.2    224.8    263.5    247.9    250.7    254.8    246.5    242.9    235.2    246.1    242.1    248.3    264.2    244.8    250.6    271.7    264.7    281.7    261.4    271.0    256.0    259.3    290.2    258.2    259.4    269.8    261.9    250.7    253.2    260.0    250.9    254.6    271.6    221.8    223.8    247.2    243.2    258.2    239.3    249.1    237.8    239.2    267.8    240.6    249.7    262.4    259.7    259.4    257.6    267.7    264.0    269.0    280.6    256.3    257.5    273.0    261.4    269.2    249.1    255.6    223.2    224.8    263.5    247.9    250.7    254.8    246.5    242.9    235.2    246.1    242.1    248.3    264.2    244.8    250.6    271.7    264.7    281.7    261.4    271.0    256.0    259.3    290.2    258.2    259.4    269.8    261.9    250.7    253.2    260.0    250.9    254.6    271.6    221.8    223.8    247.2    243.2    258.2    239.3    249.1    237.8    239.2    267.8    240.6    249.7    262.4    259.7    259.4    257.6    267.7    264.0    269.0    280.6    256.3    257.5    273.0    261.4    269.2    249.1    255.6    223.2    224.8    263.5    247.9    250.7    254.8    246.5    242.9    235.2    246.1    242.1    248.3    264.2    244.8    250.6    271.7    264.7    281.7    261.4    271.0    256.0    259.3    290.2    258.2    259.4    269.8    261.9    250.7    253.2    260.0    250.9    254.6    271.6    221.8    223.8    247.2    243.2    258.2    239.3    249.1    237.8    239.2    267.8    240.6    249.7    262.4    259.7    259.4    257.6    267.7    264.0    269.0    280.6    256.3    257.5    273.0    261.4    269.2    249.1    255.6    223.2    224.8    263.5    247.9    250.7    254.8    246.5    242.9    235.2    246.1    242.1    248.3    264.2    244.8    250.6    271.7    264.7    281.7    261.4    271.0    256.0    259.3    290.2    258.2    259.4    269.8    261.9    250.7    253.2    260.0    250.9    254.6    271.6    221.8    223.8    247.2    243.2    258.2    239.3    249.1    237.8    239.2    267.8    240.6    249.7    262.4    259.7    259.4    257.6    267.7    264.0    269.0    280.6    256.3    257.5    273.0    261.4    269.2    249.1    255.6    223.2    224.8    263.5    247.9    250.7    254.8    246.5    242.9    235.2    246.1    242.1    248.3    264.2    244.8    250.6    271.7    264.7    281.7    261.4    271.0    256.0    259.3    290.2    258.2    259.4    269.8    261.9    250.7    253.2    260.0    250.9    254.6    271.6    221.8    223.8    247.2    243.2    258.2    239.3    249.1    237.8    239.2    267.8    240.6    249.7    262.4    259.7    259.4    257.6    267.7    264.0    269.0    280.6    256.3    257.5    273.0    261.4    269.2    249.1    255.6    223.2    224.8    263.5    247.9    250.7    254.8    246.5    242.9    235.2    246.1    242.1    248.3    264.2    244.8    250.6    271.7    264.7    281.7    261.4    271.0    256.0    259.3    290.2    258.2    259.4    269.8    261.9    250.7    253.2    260.0    250.9    254.6    271.6    221.8    223.8    247.2    243.2    258.2    239.3    249.1    237.8    239.2    267.8    240.6    249.7    262.4    259.7    259.4    257.6    267.7    264.0    269.0

 rof v1 48.500   -4.500    634.4    678.7    919.6    730.7    574.5    665.5    682.5    537.0    695.4    886.3    667.5    874.0    721.6    793.3    812.1    786.3    587.3    718.2    776.6    707.9    587.3    565.6    863.0    688.5    542.6    645.5    665.6    528.4    702.7    897.9    663.5    853.4    704.2    785.8    809.8    786.9    598.8    727.8    786.4    721.6    598.2    575.6    868.0    689.2    539.7    635.2    656.4    516.4    673.3    867.2    648.4    853.5    713.1    782.6    803.7    791.2    589.8    722.2    783.9    717.7    586.1    595.7    892.3    707.6    551.4    643.6    664.6    522.7    682.3    878.1    658.6    867.3    719.9    785.8    805.7    781.3    582.4    714.7    774.1    706.4    589.1    565.1    862.5    688.1    542.3    645.3    665.4    528.2    702.6    897.8    663.4    853.4    704.2    785.8    809.7    786.9    598.8    727.8    786.4    721.6    598.2    575.6    868.0    689.2    539.7    635.2    656.4    516.4    673.3    867.2    648.4    853.5    713.1    782.6    803.7    791.2    589.8    722.2    783.9    717.7    586.1    595.7    892.3    707.6    551.4    643.6    664.6    522.7    682.3    878.1    658.6    867.3    719.9    785.8    805.7    781.3    582.4    714.7    774.1    706.4    589.1    565.1    862.5    688.1    542.3    645.3    665.4    528.2    702.6    897.8    663.4    853.4    704.2    785.8    809.7    786.9    598.8    727.8    786.4    721.6    598.2    575.6    868.0    689.2    539.7    635.2    656.4    516.4    673.3    867.2    648.4    853.5    713.1    782.6    803.7    791.2    589.8    722.2    783.9    717.7    586.1    595.7    892.3    707.6    551.4    643.6    664.6    522.7    682.3    878.1    658.6    867.3    719.9    785.8    805.7    781.3    582.4    714.7    774.1    706.4    589.1    565.1    862.5    688.1    542.3    645.3    665.4    528.2    702.6    897.8    663.4    853.4    704.2    785.8    809.7    786.9    598.8    727.8    786.4    721.6    598.2    575.6    868.0    689.2    539.7    635.2    656.4    516.4    673.3    867.2    648.4    853.5    713.1    782.6    803.7    791.2    589.8    722.2    783.9    717.7    586.1    595.7    892.3    707.6    551.4    643.6    664.6    522.7    682.3    878.1    658.6    867.3    719.9    785.8    805.7    781.3    582.4    714.7    774.1    706.4    589.1    565.1    862.5    688.1    542.3    645.3    665.4    528.2    702.6    897.8    663.4    853.4    704.2    785.8    809.7    786.9    598.8    727.8    786.4    721.6    598.2    575.6    868.0    689.2    539.7    635.2    656.4    516.4    673.3    867.2    648.4    853.5    713.1    782.6    803.7    791.2    589.8    722.2    783.9    717.7    586.1    595.7    892.3    707.6    551.4    643.6    664.6    522.7    682.3    878.1    658.6    867.3    719.9    785.8    805.7    781.3    582.4    714.7    774.1    706.4    589.1    565.1    862.5    688.1    542.3    645.3    665.4    528.2    702.6    897.8    663.4    853.4    704.2    785.8    809.7    786.9    598.8    727.8    786.4    721.6    598.2    575.6    868.0    689.2    539.7    635.2    656.4    516.4    673.3    867.2    648.4    853.5    713.1    782.6    803.7    791.2    589.8    722.2    783.9    717.7    586.1    595.7    892.3    707.6    551.4    643.6    664.6    522.7    682.3    878.1    658.6    867.3    719.9    785.8    805.7    781.3    582.4    714.7    774.1    706.4    589.1    565.1    862.5    688.1    542.3    645.3    665.4    528.2    702.6    897.8    663.4    853.4    704.2    785.8    809.7    786.9    598.8    727.8    786.4    721.6    598.2    575.6    868.0    689.2    539.7    635.2    656.4    516.4    673.3    867.2    648.4    853.5    713.1    782.6    803.7    791.2    589.8    722.2    783.9    717.7    586.1    595.7    892.3    707.6    551.4    643.6    664.6    522.7    682.3    878.1    658.6    867.3    719.9    785.8    805.7    781.3    582.4    714.7    774.1    706.4    589.1    565.1    862.5    688.1    542.3    645.3    665.4    528.2    702.6    897.8    663.4    853.4    704.2    785.8    809.7    786.9    598.8    727.8    786.4    721.6    598.2    575.6    868.0    689.2    539.7    635.2    656.4    516.4    673.3    867.2    648.4    853.5    713.1    782.6    803.7    791.2    589.8    722.2    783.9    717.7    586.1    595.7    892.3    707.6    551.4    643.6    664.6    522.7    682.3    878.1    658.6    867.3    719.9    785.8    805.7    781.3    582.4    714.7    774.1    706.4

